+-----------+-------------+-----------+----------+-------------+-------------+--------------+------------+----+------------+
|festival_id|Festival_Year|Credit_Card|Debit_Card|Bank_Transfer|Mobile_Wallet|Online_Banking|Prepaid_Card|Cash|Total_Income|
+-----------+-------------+-----------+----------+-------------+-------------+--------------+------------+----+------------+
|86         |2040         |1072       |2220      |1847         |1375         |1075          |1707        |1828|11124       |
|28         |2039         |394        |472       |831          |615          |345           |761         |1374|4792        |
|66         |2038         |66         |96        |140          |201          |0             |459         |173 |1135        |
|98         |2037         |0          |233       |200          |47           |33            |165         |114 |792         |
|75         |2036         |787        |1061      |831          |1423         |660           |696         |1245|6703        |
|53         |2035         |1034       |252       |468          |64           |303           |191         |246 |2558        |
|21         |2034         |583        |534       |32           |339          |762           |441         |109 |2800        |
|74         |2032         |502        |275       |418          |520          |287           |596         |607 |3205        |
|45         |2031         |220        |263       |187          |36           |0             |120         |613 |1439        |
|32         |2030         |627        |114       |988          |0            |333           |283         |493 |2838        |
|7          |2029         |803        |818       |1313         |946          |710           |1208        |792 |6590        |
|79         |2026         |748        |1450      |1086         |1488         |975           |757         |639 |7143        |
|31         |2025         |1194       |1131      |1195         |828          |1211          |1536        |1290|8385        |
|41         |2024         |588        |533       |354          |422          |557           |769         |500 |3723        |
|61         |2023         |1244       |1061      |534          |605          |743           |734         |835 |5756        |
|4          |2022         |127        |356       |863          |833          |315           |481         |425 |3400        |
|13         |2021         |689        |1539      |858          |767          |556           |1975        |849 |7233        |
|93         |2020         |751        |591       |1422         |497          |770           |606         |503 |5140        |
|54         |2019         |892        |815       |409          |862          |840           |514         |1365|5697        |
|33         |2018         |447        |147       |775          |1161         |428           |1839        |466 |5263        |
|27         |2017         |159        |401       |903          |982          |572           |494         |171 |3682        |
|26         |2016         |281        |917       |793          |778          |477           |250         |824 |4320        |
|36         |2015         |874        |1192      |182          |352          |500           |931         |64  |4095        |
|76         |2014         |183        |196       |93           |222          |284           |478         |0   |1456        |
|82         |2013         |527        |423       |537          |475          |354           |915         |912 |4143        |
|51         |2012         |612        |374       |208          |694          |271           |560         |713 |3432        |
|40         |2011         |388        |745       |94           |1030         |812           |182         |643 |3894        |
|65         |2010         |1141       |757       |387          |561          |1011          |655         |628 |5140        |
|71         |2009         |142        |210       |528          |299          |40            |65          |58  |1342        |
|50         |2008         |568        |790       |871          |1005         |730           |506         |781 |5251        |
|83         |2007         |1685       |1162      |1236         |823          |1302          |1426        |951 |8585        |
|88         |2006         |699        |1606      |775          |808          |1753          |1189        |744 |7574        |
|57         |2005         |1465       |979       |335          |940          |667           |836         |1025|6247        |
|72         |2004         |1157       |1247      |1926         |2274         |1342          |1206        |475 |9627        |
|5          |2003         |317        |339       |91           |188          |530           |689         |641 |2795        |
|49         |2002         |275        |72        |0            |0            |701           |67          |253 |1368        |
|90         |2001         |245        |953       |678          |0            |675           |687         |545 |3783        |
|38         |2000         |638        |437       |289          |104          |457           |455         |200 |2580        |
|81         |1996         |993        |941       |383          |382          |618           |757         |296 |4370        |
|25         |1995         |1204       |235       |1236         |1293         |459           |448         |913 |5788        |
|19         |1994         |1229       |436       |683          |433          |988           |774         |638 |5181        |
|34         |1993         |2625       |1620      |2144         |2067         |1349          |2691        |1680|14176       |
|37         |1991         |1154       |635       |545          |270          |927           |874         |622 |5027        |
|24         |1989         |941        |649       |851          |485          |1004          |816         |481 |5227        |
|44         |1988         |488        |470       |0            |560          |630           |350         |248 |2746        |
|22         |1987         |1522       |1255      |1826         |393          |457           |1233        |802 |7488        |
|64         |1985         |809        |945       |1850         |1034         |608           |1261        |1114|7621        |
|16         |1984         |382        |224       |433          |564          |315           |646         |0   |2564        |
|60         |1983         |97         |362       |252          |424          |132           |797         |178 |2242        |
|39         |1982         |870        |713       |786          |576          |1171          |1325        |1383|6824        |
|12         |1981         |1189       |1402      |1097         |1134         |1216          |639         |1025|7702        |
|94         |1980         |458        |899       |224          |584          |677           |610         |765 |4217        |
|56         |1979         |840        |1392      |653          |1279         |1060          |994         |549 |6767        |
|9          |1978         |40         |463       |645          |187          |290           |404         |807 |2836        |
|23         |1976         |577        |325       |425          |706          |421           |25          |157 |2636        |
|14         |1975         |0          |517       |499          |467          |386           |529         |138 |2536        |
|62         |1974         |467        |450       |437          |504          |165           |421         |733 |3177        |
|58         |1973         |424        |282       |1086         |459          |383           |547         |387 |3568        |
|68         |1972         |1080       |769       |929          |623          |570           |419         |266 |4656        |
|15         |1971         |827        |1074      |819          |1644         |771           |1433        |1618|8186        |
|35         |1970         |428        |566       |443          |781          |996           |811         |924 |4949        |
|73         |1969         |1080       |613       |944          |748          |388           |824         |342 |4939        |
|2          |1968         |391        |474       |112          |808          |279           |474         |859 |3397        |
|69         |1967         |823        |559       |504          |449          |668           |354         |1244|4601        |
|89         |1966         |457        |660       |260          |231          |438           |347         |702 |3095        |
|52         |1965         |689        |585       |527          |425          |168           |625         |752 |3771        |
|42         |1964         |1260       |537       |516          |457          |211           |836         |699 |4516        |
|29         |1963         |227        |816       |764          |0            |676           |272         |817 |3572        |
|95         |1962         |1035       |857       |297          |778          |1403          |1210        |466 |6046        |
|92         |1961         |458        |603       |452          |271          |1026          |198         |918 |3926        |
|46         |1960         |738        |483       |645          |379          |783           |382         |1214|4624        |
|91         |1959         |1069       |543       |340          |126          |618           |734         |605 |4035        |
|11         |1957         |1715       |1906      |1819         |2432         |1358          |1972        |1256|12458       |
|80         |1956         |396        |871       |631          |972          |161           |894         |835 |4760        |
|70         |1955         |0          |83        |0            |507          |200           |21          |133 |944         |
|10         |1954         |179        |197       |80           |280          |0             |162         |384 |1282        |
|55         |1953         |1511       |1624      |1015         |1149         |988           |861         |1800|8948        |
|85         |1952         |1730       |374       |952          |1122         |1359          |1159        |964 |7660        |
|87         |1951         |1021       |785       |751          |829          |726           |479         |691 |5282        |
|99         |1950         |593        |915       |1206         |917          |1788          |703         |882 |7004        |
|18         |1949         |271        |62        |128          |487          |491           |162         |148 |1749        |
|6          |1948         |996        |442       |1001         |459          |572           |754         |923 |5147        |
|63         |1947         |1259       |967       |1224         |692          |832           |973         |1109|7056        |
|3          |1946         |541        |829       |1061         |387          |491           |1008        |1224|5541        |
|8          |1945         |287        |72        |243          |377          |344           |135         |228 |1686        |
|30         |1944         |95         |394       |46           |669          |0             |436         |57  |1697        |
|43         |1943         |198        |36        |0            |58           |602           |202         |234 |1330        |
|48         |1942         |607        |885       |791          |501          |316           |497         |1240|4837        |
|97         |1941         |196        |508       |153          |323          |857           |326         |655 |3018        |
|96         |1939         |867        |258       |414          |1062         |454           |908         |563 |4526        |
|20         |1938         |339        |888       |334          |282          |343           |0           |143 |2329        |
|78         |1937         |515        |984       |777          |668          |360           |654         |744 |4702        |
|59         |1936         |617        |730       |354          |900          |0             |385         |501 |3487        |
|77         |1935         |371        |409       |470          |332          |89            |535         |705 |2911        |
+-----------+-------------+-----------+----------+-------------+-------------+--------------+------------+----+------------+
