+----------+---------------+--------------+---------------+-----------+
|event_date|technical_count|security_count|assistant_count|total_count|
+----------+---------------+--------------+---------------+-----------+
|2040-04-16|10             |45            |19             |74         |
|2040-04-15|25             |157           |64             |246        |
|2039-11-03|15             |91            |37             |143        |
|2039-11-02|5              |39            |16             |60         |
|2038-08-29|5              |14            |6              |25         |
|2037-03-02|5              |42            |17             |64         |
|2036-08-28|5              |25            |10             |40         |
|2036-08-27|5              |28            |12             |45         |
|2036-08-26|10             |71            |29             |110        |
|2036-08-25|5              |50            |20             |75         |
|2035-10-02|10             |69            |29             |108        |
|2034-01-09|5              |44            |18             |67         |
|2034-01-07|5              |48            |20             |73         |
|2034-01-06|5              |18            |7              |30         |
|2032-06-14|10             |37            |16             |63         |
|2031-06-15|5              |23            |9              |37         |
|2030-11-09|10             |36            |15             |61         |
|2029-08-01|20             |112           |45             |177        |
|2026-06-05|10             |44            |19             |73         |
|2026-06-04|5              |43            |18             |66         |
|2026-06-02|5              |35            |14             |54         |
|2025-01-07|15             |90            |37             |142        |
|2025-01-06|5              |28            |11             |44         |
|2025-01-03|10             |52            |22             |84         |
|2024-10-29|5              |29            |12             |46         |
|2024-10-28|10             |45            |19             |74         |
|2023-02-08|10             |45            |18             |73         |
|2023-02-06|10             |71            |29             |110        |
|2022-01-09|10             |71            |29             |110        |
|2021-09-02|5              |44            |18             |67         |
|2021-09-01|20             |82            |34             |136        |
|2020-09-02|20             |136           |56             |212        |
|2019-03-25|5              |11            |5              |21         |
|2019-03-24|10             |88            |36             |134        |
|2019-03-23|5              |40            |16             |61         |
|2018-10-04|10             |44            |18             |72         |
|2018-10-01|10             |31            |13             |54         |
|2017-06-19|5              |44            |18             |67         |
|2017-06-18|5              |22            |9              |36         |
|2016-04-05|15             |94            |39             |148        |
|2015-06-22|5              |10            |4              |19         |
|2015-06-21|10             |56            |23             |89         |
|2014-10-16|5              |16            |7              |28         |
|2013-04-25|10             |45            |18             |73         |
|2013-04-23|5              |41            |17             |63         |
|2012-05-08|10             |72            |29             |111        |
|2012-05-07|5              |26            |11             |42         |
|2011-07-24|15             |73            |30             |118        |
|2010-08-11|20             |139           |57             |216        |
|2009-06-04|5              |47            |19             |71         |
|2008-07-14|10             |88            |36             |134        |
|2008-07-13|5              |34            |14             |53         |
|2007-12-24|15             |61            |25             |101        |
|2007-12-22|10             |66            |27             |103        |
|2007-12-21|5              |35            |14             |54         |
|2006-01-26|5              |41            |17             |63         |
|2006-01-25|15             |102           |41             |158        |
|2005-07-18|5              |45            |18             |68         |
|2005-07-17|10             |51            |21             |82         |
|2005-07-16|5              |14            |6              |25         |
|2004-05-06|5              |42            |17             |64         |
|2004-05-04|15             |72            |31             |118        |
|2004-05-03|10             |42            |18             |70         |
